============================================================
v2_20k 評估與校正 Pipeline - 步驟一: 重度運算與校正推論
============================================================

>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
執行校正模式: BASELINE
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>

----------------------------------------
處理目標任務: Y1
----------------------------------------
      [BASELINE | TEST1 | Layer 1 | Y1 | SGD] Brier=0.1734 | Rel=0.0000 | Res=0.0037 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.5268
      [BASELINE | TEST2 | Layer 1 | Y1 | SGD] Brier=0.1732 | Rel=0.0003 | Res=0.0045 | Unc=0.1774 | ECE=0.0114 | LogLoss=0.5406
      [BASELINE | TEST1 | Layer 1 | Y1 | MLP] Brier=0.1754 | Rel=0.0000 | Res=0.0017 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.5323
      [BASELINE | TEST2 | Layer 1 | Y1 | MLP] Brier=0.1758 | Rel=0.0000 | Res=0.0016 | Unc=0.1774 | ECE=0.0042 | LogLoss=0.5299
      [BASELINE | TEST1 | Layer 1 | Y1 | LGB] Brier=0.1625 | Rel=0.0000 | Res=0.0146 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4942
      [BASELINE | TEST2 | Layer 1 | Y1 | LGB] Brier=0.1638 | Rel=0.0007 | Res=0.0143 | Unc=0.1774 | ECE=0.0132 | LogLoss=0.4962
      [BASELINE | TEST1 | Layer 1 | Y1 | LR] Brier=0.1729 | Rel=0.0000 | Res=0.0042 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.5253
      [BASELINE | TEST2 | Layer 1 | Y1 | LR] Brier=0.1723 | Rel=0.0002 | Res=0.0053 | Unc=0.1774 | ECE=0.0081 | LogLoss=0.5390
      [BASELINE | TEST1 | Layer 1 | Y1 | RF] Brier=0.1637 | Rel=0.0000 | Res=0.0134 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4966
      [BASELINE | TEST2 | Layer 1 | Y1 | RF] Brier=0.1639 | Rel=0.0010 | Res=0.0144 | Unc=0.1774 | ECE=0.0150 | LogLoss=0.5285
      [BASELINE | TEST1 | Layer 2 | Y1 | SGD] Brier=0.1674 | Rel=0.0000 | Res=0.0097 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.5100
      [BASELINE | TEST2 | Layer 2 | Y1 | SGD] Brier=0.1689 | Rel=0.0009 | Res=0.0095 | Unc=0.1774 | ECE=0.0100 | LogLoss=0.5302
      [BASELINE | TEST1 | Layer 2 | Y1 | MLP] Brier=0.1643 | Rel=0.0000 | Res=0.0128 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.5007
      [BASELINE | TEST2 | Layer 2 | Y1 | MLP] Brier=0.1663 | Rel=0.0013 | Res=0.0124 | Unc=0.1774 | ECE=0.0302 | LogLoss=0.5227
      [BASELINE | TEST1 | Layer 2 | Y1 | LGB] Brier=0.1656 | Rel=0.0000 | Res=0.0115 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.5045
      [BASELINE | TEST2 | Layer 2 | Y1 | LGB] Brier=0.1652 | Rel=0.0007 | Res=0.0128 | Unc=0.1774 | ECE=0.0204 | LogLoss=0.5162
      [BASELINE | TEST1 | Layer 2 | Y1 | LR] Brier=0.1661 | Rel=0.0000 | Res=0.0110 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.5073
      [BASELINE | TEST2 | Layer 2 | Y1 | LR] Brier=0.1687 | Rel=0.0021 | Res=0.0108 | Unc=0.1774 | ECE=0.0241 | LogLoss=0.5126
